
KVB,AwlCpP,4,ex  fhux gwdm  :D  :p  :0 va pñl
OTP,AñDnYc,2,xutcuqñl ñ  cd
AJN,BWNGñP,4,nash ñ ne    b
FFC,BmeHbO,4,qjxxoyr e dñk :D   xpb 
EBF,BmeHbO,2,qddeef yebñalvn
ARK,BmeHbO,2,byre wdbu m
UJI,CCwFaA,2,ovw d lvg gu g :p  :( 
KBP,CCwFaA,4,czc  uxvms  crc nñ :/ s :D kz
PTV,CRfOGn,2,wgpb vegsch
PAR,CSNxAn,3,omfizphuñn dig  n :) wx 
NYR,CSNxAn,4,ojwz e  he k 
JMW,CSNxAn,4,bvz  kkz ap x bj  
VZÑ,DNbvEc,2,jkbtpmbfb lims
MYÑ,DNbvEc,3,znfowxz k vuxcsm
NSL,EKtsco,3,fmufn   hbxtcut oy
TXN,ERTecs,1,fi pñpq 
PTV,ERTecs,1,vgvñxpeao  qhmjc
IÑX,ERTecs,1,hnqcq f   m 
TFP,ErPmWx,2,ulsqi cspwx
JII,ErPmWx,4,sjk xilzq
FAE,FdBBmW,2,g  qg kn  p :/ 
HBB,FdBBmW,5,ññxñheb   obnuk :( 
JDC,FdBBmW,4,wnhv irt
DAV,FnUhdF,5,msqljm yoirtqubiñu :0 nsiy 
ZKF,FnUhdF,1,imrmpiqth
MOU,FnUhdF,3,hmjo  e fdg 
JUR,FsTVpÑ,2,qdzpuek 
MOU,FsTVpÑ,5,wfyx nzc edalo :D 
YHR,GqfSWF,2,kltb mkry gbs m g
DMK,GqfSWF,3,fgvqxiñ s c
UÑL,HokvSÑ,1,faneñ eggtuññd
ANU,HokvSÑ,4,xgms d i u wtg
YGZ,HokvSÑ,3,feqmrhfimxmbofñ
NOÑ,HokvSÑ,1,vbyy  j
EIP,HokvSÑ,1,vaqa gfñgñ
RVM,IcYAif,1,pñdycgbdakbaavwn vuqo 
QLM,IcYAif,4,vfuyg   ftc  r :p t
ÑGZ,IcYAif,4,ke  tohdiv c ds :/   r p
MKT,IÑLKxM,3,fnyhñd j bdrfn 
ESZ,JiTqpT,3,hqz ftx
KBP,JiTqpT,4,oñgdgpgzl  dq  :p  :( m :) 
VTO,JÑGCpC,3,lwdiurnrp
FNE,KFwKKU,1,ynlis bj ayz 
SFX,KFwKKU,2,qgi q p vkb b
OAW,KFwKKU,5,eur mpobabq
WNK,LfHmeQ,5,qeecrl djk ng u :0 xwr
WGÑ,LfHmeQ,3,ñtfxv  xawi
BTS,MLIdoV,2,cqi  scceussgu  t
CRT,MLIdoV,2,tl ñw lñlws y <3 zktu <3  q
BGJ,MLIdoV,3,cflmsug z f ñañ
YMO,NEmjET,3,vrwmfl m  b zn
OQD,NEmjET,5,gn rjvwevpu
SOJ,NEmjET,4,caulhppjbr k
FXQ,NEmjET,2,bgeddqg ppae pf :D  :(  :p gb 
CDÑ,NExqZZ,5,bizm cioñujx
PVS,NExqZZ,2,mr  ipuyh  bao
WYL,NExqZZ,1,aitm nv pnqt  :p  wqxecm <3 p
KVB,NExqZZ,1,bh  lje gqqd 
OAW,NuUmÑP,1,ashfd   fzjlu :p 
IMÑ,NuUmÑP,2,ztw rdsqcjclsv   e
PPH,NuUmÑP,3,qwq oy ii m o ssk
DLI,OgdtRZ,4,eznfzi qyghzikjwqq xfe
QUU,OgdtRZ,1,rzik wfuñ fgw b qd
PAR,OgdtRZ,3,vrsubbjnryyh i  
SFX,OgdtRZ,2,myb apfñtry  htadeq :) ñ
IÑX,Okdelm,4,fobuf x 
ZCL,Okdelm,2,badp pbñ k ñ ki
MSR,Okdelm,5,jgfw wnlivaq x  in :/   t 
RGP,Okdelm,5,auqcj tcsxieozgyk   :)  rx hi 
NEC,Okdelm,5,uhvovvzwcgbau
UIY,RBLzGD,5,hu wbgmxcxrkh
YMO,UKEgTt,1,hzrtvmix ñoo
SBH,UKEgTt,1,krxb llb a nhupi <3  
XNG,UKEgTt,4,lvleh  a c c bfv lsru 
IYU,UlMxNY,3,nsrfrqcq frpqh 
UPY,UlMxNY,3,wmvtup kñ o :)  :0 kl   :0 
VIÑ,UtoIlf,2,sqaqñvlzrhgu   b   wqu
BRR,UtoIlf,2,uxpjm i  ldch
JOL,UtoIlf,1,tkbdbjae xuqdtd
CNZ,UñTbMP,3,xwrh  kfadhcd
CQZ,VWyKBV,2,eew  pkcp ooeh
IMÑ,VWyKBV,4,vidh k ujtñt pñ  <3 h 
DGV,VWyKBV,5,zvs xiñy  g :0 rjyhhju
UAG,VWyKBV,3,rdjoñkf cn :/ y
QZM,VWyKBV,1,jyxq  lebkewivh
IEF,WsSpUj,3,rzoironsi mvs :D qy  e
TKZ,XYRfTU,3,nck rv al qifkdrskb
XOJ,XtVAdD,1,rme r ie  iv f
ONW,XtVAdD,5,ñ rlva   dcn :p   e 
VID,XtewNu,2,zttw zn akzn tfzmfw b
QUU,ZeROql,2,y s z kqmi mq :( iiay
JZT,ZeROql,3,otaai lymq u
QMX,ZeROql,2,ikoq  ybh
JPE,ZeROql,4,xj i   xr pgli v x
HHG,Znisxj,2,xbxqrdg pm
IGH,Znisxj,5,csmzc bx anezn
HYU,Znisxj,3,pcvfmypcr  owhwqg :0 
LDP,Znisxj,2,odiu rd  cemt 
HIV,a,5,fvludund nyl p <3 ac  b
UKR,a,3,vqp sgojrqbcleq  o :p d ofb
ZCL,aÑMHjK,4,owaagpaosx
ÑVT,aÑMHjK,3,tsokae tnxczm ckqbg
LKQ,aÑMHjK,2,vdañeycvf q
VUM,bTCCEp,5,vziuzqñd cc
OVE,bTCCEp,2,nbñssdñg qdetñvx x
GXY,bkbBii,5,bpyl iydijl
PSP,butPWn,5,wxdiqñ swtr wns ousgz
YMO,butPWn,5,iqqnmlzzuu uq bvf
NEB,butPWn,4,pbgfbyhqkwzbf :D jg
VUM,butPWn,2,gcy qjpxrdj
ZPE,butPWn,5,y   lyhog
DMK,dFONrD,3,wclozl v d vfwñ
MIR,dFONrD,3,bhxwpakmjk p
XCF,dFONrD,1,rd m  jsvwc auwzm :D n gcx
ZPP,dFONrD,1,eckiltmy ge l ybñqg
DDX,eCpWnp,5,rurwvbthro me  f :0 
ZFA,eCpWnp,3,kyywuprñi  pzp ñs
VZÑ,eCpWnp,4,pjxrn zxaoyyemw
SWQ,eETKws,2,ozvakjwfl sax
